file_id,fold,mfcc_mean,mfcc_std,chroma_mean,chroma_std,spectral_contrast_mean,spectral_contrast_std,tonnetz_mean,tonnetz_std,zero_crossing_rate_mean,zero_crossing_rate_std,rmse_mean,rmse_std,spectral_rolloff_mean,spectral_roloff_std,centroid_mean,centroid_std,bandwidth_mean,bandwidth_std,contrast_mean,contrast_std,mel_spectrogram_mean,mel_spectrogram_std,salience,class
203929-7-5-1,fold2,-221.34433,8.074078,0.6171919,0.22120312,20.053527600064793,14.389018087723132,0.0085416509564744,0.0328933427145765,0.0705411172326589,0.0082933129769317,0.073593095,0.008643202,2547.763784772399,279.3686377834156,1292.2039369982976,87.99964686452276,1521.345039314151,61.87139040551881,20.053527600064793,14.389018087723132,0.3129389,0.85060084,2,jackhammer
196384-9-0-2,fold2,-189.43793,29.760508,0.4885003,0.27203858,19.94074045848502,13.112419135339048,-0.0021605423862239,0.0764115435777064,0.141745506683526,0.0603283104427516,0.10871506,0.052441213,6733.793578395954,1287.9667185165454,2736.3613835528317,706.6863276076847,3025.7730381513816,295.2604301063855,19.94074045848502,13.112419135339048,0.83348006,7.717117,1,street_music
169098-7-4-6,fold2,-180.6247,26.611942,0.45359513,0.28684726,18.213139719969373,12.362182119536326,-0.0029975124916352,0.0620908217344266,0.0752150695447976,0.0105316958909895,0.0967418,0.017679125,3880.9553377890174,1065.3018483860917,1796.8183647151316,281.11484188456535,2238.6849488956523,286.6974161197659,18.213139719969373,12.362182119536326,0.5553605,2.479317,2,jackhammer
123688-8-0-4,fold2,-404.3448,12.911037,0.53354603,0.2771362,17.788303001334715,11.53184297928248,0.0034565761505763,0.0769136360642594,0.0670300081286127,0.023080348034408,0.0116083585,0.0041330466,3270.681956737717,433.18624730041233,1641.9470563770094,220.39700240701268,2058.6196475848446,163.16468801802577,17.788303001334715,11.53184297928248,0.008680652,0.06287051,2,siren
174994-3-0-0,fold2,-388.6683,175.46887,0.4586111,0.32880855,18.75863773901572,12.250735755210377,0.0054566490516981,0.075459187834831,0.1280482297687861,0.0514620469926607,0.06904786,0.10448573,4359.913520592486,1312.1352226013862,2381.9442209713593,607.9022837901839,2220.1243921026694,414.09201143306,18.75863773901572,12.250735755210377,0.6916657,7.3529735,1,dog_bark
18453-3-0-0,fold2,-261.09198,24.684505,0.47539127,0.27254286,17.931842016836345,11.905127550872644,0.0173550380100821,0.0453748182918015,0.11318359375,0.0156732305286333,0.03831101,0.01417527,2796.85546875,351.9785916580662,1747.977360071119,96.1271742843272,1710.04424309902,193.89356189365031,17.931842016836345,11.905127550872644,0.07948302,0.23878123,2,dog_bark
109703-2-0-134,fold2,-361.0565,19.202648,0.5817544,0.24582472,17.40055266500575,12.728349386492392,-0.007606456525347,0.1015732339121575,0.0781306448699422,0.0140517577510363,0.012892648,0.0025859182,4277.639258941474,473.6263294757252,1896.913192756844,176.4192686502785,2345.0193839911094,119.30529698535376,17.40055266500575,12.728349386492392,0.00963751,0.033948332,2,children_playing
147926-0-0-44,fold2,-386.81223,9.926843,0.71502167,0.21066558,18.35906217216787,12.549608652831632,0.0135215840903639,0.1508176005844616,0.0191756231936416,0.0105528416655009,0.033835247,0.01278333,2047.6458069906068,413.7284751925885,1037.1513864419005,176.3010113319392,1878.1570265725345,141.6776630967074,18.35906217216787,12.549608652831632,0.07621888,0.6547708,1,air_conditioner
123688-8-0-13,fold2,-350.99042,42.56878,0.55881906,0.24476062,17.313438282882665,12.396151309693712,-0.0056583610838091,0.0450447547125426,0.1165976110910404,0.0257217977576414,0.012920113,0.004581203,4437.333476336706,1157.5270165353943,2173.662096428494,439.64608228154214,2315.9135521083676,280.62573820237634,17.313438282882665,12.396151309693712,0.00931658,0.038474407,2,siren
203929-7-7-3,fold2,-198.44196,12.152339,0.6358875,0.2151796,19.463922892762493,14.762486323549204,-0.0016264183462886,0.0472666392265599,0.0825279985549133,0.0098267474481225,0.077375226,0.006757703,3190.772613348988,280.8991308322848,1486.2043820032443,110.6217322162169,1631.2501624654965,93.10057237520076,19.463922892762493,14.762486323549204,0.3393785,0.81608415,2,jackhammer
